Record Date,State Name,Interest Rate Percent,Outstanding Advance Balance,Advance Authorization Current Month,Gross Advance Draws Current Month,Interest Accrued Fiscal Year to Date,Interest Paid Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2/2/22,Pennsylvania,1.5909,863908529.2,100000000,8226322.53,5643203.04,0,10,2022,2,2022,1,2,2
2/2/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,2
2/2/22,Virgin Islands,1.5909,97887045.99,3000000,0,686558.97,235.02,12,2022,2,2022,1,2,2
2/1/22,California,1.5909,19732033324,700000000,24414061.4,139576033.3,0,1,2022,2,2022,1,2,1
2/1/22,Colorado,1.5909,1013089861,100000000,0,7235338.66,0,2,2022,2,2022,1,2,1
2/1/22,Connecticut,1.5909,587844575.8,80000000,5768236.71,3819159.6,0,3,2022,2,2022,1,2,1
2/1/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,1
2/1/22,Illinois,1.5909,4512645003,147000000,0,31818308.3,0.55,5,2022,2,2022,1,2,1
2/1/22,Massachusetts,1.5909,2268015460,0,0,16184127.39,0,6,2022,2,2022,1,2,1
2/1/22,Minnesota,1.5909,1190144174,175000000,10765000,7985481.61,35056.4,7,2022,2,2022,1,2,1
2/1/22,New Jersey,1.5909,398575464.5,400000000,6097000,3633094.57,1.17,8,2022,2,2022,1,2,1
2/1/22,New York*,1.5909,9450503625,560000000,0,65800799.31,0,9,2022,2,2022,1,2,1
2/1/22,Pennsylvania,1.5909,872817674.4,100000000,5033367.75,5605160.12,0,10,2022,2,2022,1,2,1
2/1/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,1
2/1/22,Virgin Islands,1.5909,97887045.99,3000000,0,682292.44,235.02,12,2022,2,2022,1,2,1
1/31/22,California,1.5909,19725842829,750000000,372000251.6,138716256.8,0,1,2022,2,2022,1,1,31
1/31/22,Colorado,1.5909,1013089861,100000000,0,7191181.84,0,2,2022,2,2022,1,1,31
1/31/22,Connecticut,1.5909,582076339.1,100000000,34017433.97,3793789.05,0,3,2022,2,2022,1,1,31
1/31/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,1,31
1/31/22,Illinois,1.5909,4512645003,163000000,0,31621618.84,0.55,5,2022,2,2022,1,1,31
1/31/22,Massachusetts,1.5909,2268015460,0,0,16085273,0,6,2022,2,2022,1,1,31
1/31/22,Minnesota,1.5909,1190379174,175000000,119307413.7,7933597.41,35056.4,7,2022,2,2022,1,1,31
1/31/22,New Jersey,1.5909,400499015,400000000,179849963,3615602.14,1.17,8,2022,2,2022,1,1,31
